"CONTEXT_PARTNER_ID"|"PARTNER_PRODUCT_CODE"|"PARTNER_CAT_CODE"|"EAN"|"MANUFACTURER"|"MANUFACTURER_PART_NUMBER"|"PRODUCT_NAME"|"PRODUCT_DESCRIPTION"|"CATEGORY_LEVEL_1"|"CATEGORY_LEVEL_2"|"CATEGORY_LEVEL_3"|"COUNTRY"|"INVOICE_DATE"|"SALES_QUANTITY"|"SALES_REVENUE"|"TAX_INCLUDED"|"CURRENCY"|"CUSTOMER_COUNTRY"|"CUSTOMER_POSTCODE"|"PARTNER_CUSTOMER_CODE"|"CUSTOMER_NAME"|"CUSTOMER_ADDRESS"|"CUSTOMER_CITY"|"CUSTOMER_CODE"|"CUSTOMER_VAT_NUM"|"INVOICE_NUMBER"|"CUSTOMER_SEGMENTATION"|"VENDOR_PROGRAM_CODE"|"BUNDLE"|"TBA"
"TR3013"|"MYX23TU/A"|"0416"|""|"APPLE"|"MYX23TU/A"|"iPhone 16 Pro Max 512GB Desert Titanium"|"iPhone 16 Pro Max 512GB Desert Titanium"|"Akilli Telefon"|"IPHONE"|""|"TR"|"2025-03-17"|"1"|"93061.76"|"No"|"TRY"|"TR"|""|""|""|""|"BURSA"|""|""|"20250317"|"Retail"|""|"No"|""
"TR3013"|"WD40EFPX"|"2518"|""|"WESTERND"|"WD40EFPX"|"WD Red Plus NAS Hard Drive 3.5''"|"WD Red Plus NAS Hard Drive 3.5''"|"HDD (Dahili)"|"HDD (Dahili)"|""|"TR"|"2025-03-17"|"120"|"462173.04"|"No"|"TRY"|"TR"|""|""|""|""|"ISTANBUL"|""|""|"20250317"|"SMB"|""|"No"|""
"TR3013"|"C13T946140"|"0504"|""|"EPSON"|"C13T946140"|"Epson WF-C5xxx Series Ink Cartridge XXL"|"Epson WF-C5xxx Series Ink Cartridge XXL"|"Murekkep Kartus"|"Siyah"|""|"TR"|"2025-03-17"|"10"|"17604.86"|"No"|"TRY"|"TR"|""|""|""|""|"ISTANBUL"|""|""|"20250317"|"SMB"|""|"No"|""
"TR3013"|"5811C096"|"1701"|""|"CANON"|"5811C096"|"CANON D.CAM EOS R50 BK+RFS 18-150 S EU26"|"CANON D.CAM EOS R50 BK+RFS 18-150 S EU26"|"Fotograf Makinesi"|"DSLR (Digital Single"|""|"TR"|"2025-03-17"|"10"|"368327.59"|"No"|"TRY"|"TR"|""|""|""|""|"ANKARA"|""|""|"20250317"|"SMB"|""|"No"|""
"TR3013"|"MYWY3TU/A"|"0416"|""|"APPLE"|"MYWY3TU/A"|"iPhone 16 Pro Max 256GB Natural Titanium"|"iPhone 16 Pro Max 256GB Natural Titanium"|"Akilli Telefon"|"IPHONE"|""|"TR"|"2025-03-17"|"2"|"154166.66"|"No"|"TRY"|"TR"|""|""|""|""|"KIRIKKALE"|""|""|"20250317"|"SMB"|""|"No"|""
"TR3013"|"MYNG3TU/A"|"0416"|""|"APPLE"|"MYNG3TU/A"|"iPhone 16 Pro 128GB Natural Titanium"|"iPhone 16 Pro 128GB Natural Titanium"|"Akilli Telefon"|"IPHONE"|""|"TR"|"2025-03-17"|"1"|"62708.33"|"No"|"TRY"|"TR"|""|""|""|""|"ESKISEHIR"|""|""|"20250317"|"SMB"|""|"No"|""
"TR3013"|"MLPG3TU/A"|"0416"|""|"APPLE"|"MLPG3TU/A"|"iPhone 13 128GB Starlight"|"iPhone 13 128GB Starlight"|"Akilli Telefon"|"IPHONE"|""|"TR"|"2025-03-17"|"5"|"140000"|"No"|"TRY"|"TR"|""|""|""|""|"ZONGULDAK"|""|""|"20250317"|"SMB"|""|"No"|""
"TR3013"|"MYNN3TU/A"|"0416"|""|"APPLE"|"MYNN3TU/A"|"iPhone 16 Pro 512GB White Titanium"|"iPhone 16 Pro 512GB White Titanium"|"Akilli Telefon"|"IPHONE"|""|"TR"|"2025-03-17"|"1"|"75875"|"No"|"TRY"|"TR"|""|""|""|""|"BURSA"|""|""|"20250317"|"SMB"|""|"No"|""
"TR3013"|"MYX33TU/A"|"0416"|""|"APPLE"|"MYX33TU/A"|"iPhone 16 Pro Max 512GB Natural Titanium"|"iPhone 16 Pro Max 512GB Natural Titanium"|"Akilli Telefon"|"IPHONE"|""|"TR"|"2025-03-17"|"1"|"83250"|"No"|"TRY"|"TR"|""|""|""|""|"ZONGULDAK"|""|""|"20250317"|"SMB"|""|"No"|""
"TR3013"|"MLPG3TU/A"|"0416"|""|"APPLE"|"MLPG3TU/A"|"iPhone 13 128GB Starlight"|"iPhone 13 128GB Starlight"|"Akilli Telefon"|"IPHONE"|""|"TR"|"2025-03-17"|"9"|"252000"|"No"|"TRY"|"TR"|""|""|""|""|"KUTAHYA"|""|""|"20250317"|"SMB"|""|"No"|""
