"CONTEXT_PARTNER_ID"|"PARTNER_PRODUCT_CODE"|"PARTNER_CAT_CODE"|"EAN"|"MANUFACTURER"|"MANUFACTURER_PART_NUMBER"|"PRODUCT_NAME"|"PRODUCT_DESCRIPTION"|"CATEGORY_LEVEL_1"|"CATEGORY_LEVEL_2"|"CATEGORY_LEVEL_3"|"COUNTRY"|"INVOICE_DATE"|"SALES_QUANTITY"|"SALES_REVENUE"|"TAX_INCLUDED"|"CURRENCY"|"CUSTOMER_COUNTRY"|"CUSTOMER_POSTCODE"|"PARTNER_CUSTOMER_CODE"|"CUSTOMER_NAME"|"CUSTOMER_ADDRESS"|"CUSTOMER_CITY"|"CUSTOMER_CODE"|"CUSTOMER_VAT_NUM"|"INVOICE_NUMBER"|"CUSTOMER_SEGMENTATION"|"VENDOR_PROGRAM_CODE"|"BUNDLE"|"TBA"
"TR3008"|"MYNH3TU/A"|"0416"|""|"APPLE"|"MYNH3TU/A"|"iPhone 16 Pro 256GB Black Titanium"|"iPhone 16 Pro 256GB Black Titanium"|"Akilli Telefon"|"IPHONE"|""|"TR"|"2025-03-20"|"2"|"135916.66"|"No"|"TRY"|"TR"|""|""|""|""|"ANTALYA"|""|""|"20250320"|"SMB"|""|"No"|""
"TR3008"|"MYWV3TU/A"|"0416"|""|"APPLE"|"MYWV3TU/A"|"iPhone 16 Pro Max 256GB Black Titanium"|"iPhone 16 Pro Max 256GB Black Titanium"|"Akilli Telefon"|"IPHONE"|""|"TR"|"2025-03-20"|"3"|"231249.99"|"No"|"TRY"|"TR"|""|""|""|""|"ANTALYA"|""|""|"20250320"|"SMB"|""|"No"|""
"TR3008"|"MYWY3TU/A"|"0416"|""|"APPLE"|"MYWY3TU/A"|"iPhone 16 Pro Max 256GB Natural Titanium"|"iPhone 16 Pro Max 256GB Natural Titanium"|"Akilli Telefon"|"IPHONE"|""|"TR"|"2025-03-20"|"2"|"154166.66"|"No"|"TRY"|"TR"|""|""|""|""|"ANTALYA"|""|""|"20250320"|"SMB"|""|"No"|""
"TR3008"|"MYNH3TU/A"|"0416"|""|"APPLE"|"MYNH3TU/A"|"iPhone 16 Pro 256GB Black Titanium"|"iPhone 16 Pro 256GB Black Titanium"|"Akilli Telefon"|"IPHONE"|""|"TR"|"2025-03-20"|"2"|"135916.66"|"No"|"TRY"|"TR"|""|""|""|""|"IZMIR"|""|""|"20250320"|"SMB"|""|"No"|""
"TR3008"|"MYNE3TU/A"|"0416"|""|"APPLE"|"MYNE3TU/A"|"iPhone 16 Pro 128GB White Titanium"|"iPhone 16 Pro 128GB White Titanium"|"Akilli Telefon"|"IPHONE"|""|"TR"|"2025-03-20"|"5"|"313541.65"|"No"|"TRY"|"TR"|""|""|""|""|"ANKARA"|""|""|"20250320"|"SMB"|""|"No"|""
"TR3008"|"MYND3TU/A"|"0416"|""|"APPLE"|"MYND3TU/A"|"iPhone 16 Pro 128GB Black Titanium"|"iPhone 16 Pro 128GB Black Titanium"|"Akilli Telefon"|"IPHONE"|""|"TR"|"2025-03-20"|"5"|"313541.65"|"No"|"TRY"|"TR"|""|""|""|""|"ANKARA"|""|""|"20250320"|"SMB"|""|"No"|""
"TR3008"|"MLPG3TU/A"|"0416"|""|"APPLE"|"MLPG3TU/A"|"iPhone 13 128GB Starlight"|"iPhone 13 128GB Starlight"|"Akilli Telefon"|"IPHONE"|""|"TR"|"2025-03-20"|"17"|"476000"|"No"|"TRY"|"TR"|""|""|""|""|"ANKARA"|""|""|"20250320"|"SMB"|""|"No"|""
"TR3008"|"MD1R4TU/A"|"0416"|""|"APPLE"|"MD1R4TU/A"|"iPhone 16e 128GB White"|"iPhone 16e 128GB White"|"Akilli Telefon"|"IPHONE"|""|"TR"|"2025-03-20"|"1"|"37499.16"|"No"|"TRY"|"TR"|""|""|""|""|"CANAKKALE"|""|""|"20250320"|"SMB"|""|"No"|""
"TR3008"|"MLPF3TU/A"|"0416"|""|"APPLE"|"MLPF3TU/A"|"iPhone 13 128GB Midnight"|"iPhone 13 128GB Midnight"|"Akilli Telefon"|"IPHONE"|""|"TR"|"2025-03-20"|"1"|"28000"|"No"|"TRY"|"TR"|""|""|""|""|"ISTANBUL"|""|""|"20250320"|"SMB"|""|"No"|""
"TR3008"|"JB.JBLT520BTPUREU"|"5702"|""|"JBL"|"JB.JBLT520BTPUREU"|"Tune 520BT Multi Connect Wireless Mor"|"Tune 520BT Multi Connect Wireless Mor"|"Kablosuz Kulaklik"|"Kablosuz Kulaklik"|""|"TR"|"2025-03-20"|"2"|"2625"|"No"|"TRY"|"TR"|""|""|""|""|"MUGLA"|""|""|"20250320"|"SMB"|""|"No"|""
